funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group
Uppsala Multidisciplinary Center for Advanced Computational Science,Sweden,112,59,35,52.7,31.2,,F4320336376,False
Science for Life Laboratory,Sweden,220,108,47,49.1,21.4,,F4320325677,False
European Molecular Biology Laboratory,Germany,122,57,43,46.7,35.2,,F4320314023,False
Argonne National Laboratory,USA,156,68,23,43.6,14.7,,F4320338284,False
Canadian Institute for Advanced Research,Canada,105,45,34,42.9,32.4,,F4320309949,False
Biological and Environmental Research,USA,266,108,61,40.6,22.9,,F4320337509,False
Francis Crick Institute,UK,182,73,42,40.1,23.1,government,F4320312060,True
National Centre for Earth Observation,UK,159,63,59,39.6,37.1,,F4320338155,False
Deutsches Krebsforschungszentrum,Germany,124,48,26,38.7,21.0,,F4320310693,False
Lawrence Berkeley National Laboratory,USA,129,49,32,38.0,24.8,,F4320338292,False
Fondation ARC pour la Recherche sur le Cancer,France,145,55,19,37.9,13.1,,F4320322361,False
European Synchrotron Radiation Facility,France,143,54,16,37.8,11.2,,F4320320887,False
European Molecular Biology Organization,Germany,289,106,71,36.7,24.6,,F4320307844,False
Diamond Light Source,UK,205,75,21,36.6,10.2,,F4320313096,False
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",France,227,81,30,35.7,13.2,,F4320331560,False
Common Fund,USA,132,47,36,35.6,27.3,,F4320338403,False
Genome Canada,Canada,157,55,31,35.0,19.7,,F4320310787,False
Howard Hughes Medical Institute,USA,748,261,161,34.9,21.5,philanthropy,F4320306082,True
Directorate for Biological Sciences,USA,828,288,154,34.8,18.6,,F4320332167,False
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",USA,410,142,64,34.6,15.6,,F4320309123,False
National Geographic Society,USA,146,50,35,34.2,24.0,government,F4320309024,True
Leibniz-Gemeinschaft,Germany,272,92,39,33.8,14.3,,F4320334763,False
Deutsches Elektronen-Synchrotron,Germany,128,43,14,33.6,10.9,,F4320334759,False
Foundation for Medical Research (France),France,421,141,83,33.5,19.7,,F4320321589,False
Breast Cancer Research Foundation,USA,147,49,28,33.3,19.0,government,F4320306260,True
Österreichischen Akademie der Wissenschaften,Austria,121,40,27,33.1,22.3,,F4320321004,False
École Polytechnique Fédérale de Lausanne,Switzerland,164,54,33,32.9,20.1,,F4320320915,False
NIH Office of the Director,USA,275,90,62,32.7,22.5,,F4320337349,False
Agriculture and Agri-Food Canada,Canada,101,33,6,32.7,5.9,,F4320334595,False
Burroughs Wellcome Fund,USA,209,68,37,32.5,17.7,government,F4320306133,True
Fondation Leducq,France,155,50,33,32.3,21.3,,F4320320890,False
Prostate Cancer Foundation,USA,107,34,15,31.8,14.0,government,F4320306163,True
Office of Science,USA,744,233,114,31.3,15.3,,F4320332359,False
John Templeton Foundation,USA,199,62,42,31.2,21.1,government,F4320306193,True
Cancer Prevention and Research Institute of Texas,USA,324,101,31,31.2,9.6,,F4320308129,False
Sight Research UK,UK,610,190,146,31.1,23.9,,F4320320022,False
Freie Universität Berlin,Germany,145,45,22,31.0,15.2,,F4320324521,False
Branco Weiss Fellowship – Society in Science,Switzerland,123,38,31,30.9,25.2,,F4320320923,False
Universiteit Gent,Belgium,206,63,30,30.6,14.6,,F4320322603,False
Max Planck Society,Germany,958,293,222,30.6,23.2,philanthropy,F4320322434,True
Akademie Věd České Republiky,Czech Republic,191,58,17,30.4,8.9,,F4320322482,False
Institut National Du Cancer,France,228,69,35,30.3,15.4,,F4320323807,False
China Agricultural University,China,195,59,18,30.3,9.2,,F4320321131,False
Human Frontier Science Program,France,303,91,81,30.0,26.7,,F4320320338,False
Nanjing Agricultural University,China,104,31,7,29.8,6.7,,F4320325211,False
"University of California, San Diego",USA,274,81,51,29.6,18.6,,F4320332603,False
Uehara Memorial Foundation,Japan,164,48,14,29.3,8.5,government,F4320310760,True
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases",USA,162,47,15,29.0,9.3,,F4320338412,False
Barncancerfonden,Sweden,108,31,14,28.7,13.0,,F4320323766,False
Foundation for the National Institutes of Health,USA,537,154,112,28.7,20.9,,F4320306080,False
Associazione Italiana per la Ricerca sul Cancro,Italy,456,129,52,28.3,11.4,philanthropy,F4320323054,True
Eidgenössische Technische Hochschule Zürich,Switzerland,420,119,81,28.3,19.3,,F4320321652,False
Agriculture Research System of China,China,163,46,8,28.2,4.9,,F4320326266,False
York University,Canada,103,29,17,28.2,16.5,,F4320319918,False
Agricultural Research Service,USA,472,133,62,28.2,13.1,,F4320332605,False
RIKEN,Japan,169,47,23,27.8,13.6,government,F4320335125,True
American Cancer Society,USA,295,82,33,27.8,11.2,government,F4320306095,True
"University of California, San Francisco",USA,339,94,51,27.7,15.0,,F4320332622,False
National Science Foundation of Sri Lanka,LK,3213,890,747,27.7,23.2,,F4320335353,False
Studienstiftung des Deutschen Volkes,Germany,132,36,17,27.3,12.9,,F4320322572,False
Chinese Academy of Agricultural Sciences,China,368,100,14,27.2,3.8,,F4320323155,False
Tsinghua University,China,173,47,15,27.2,8.7,,F4320322392,False
"University of California, Irvine",USA,100,27,16,27.0,16.0,,F4320332688,False
"Grantová Agentura, Univerzita Karlova",Czech Republic,115,31,13,27.0,11.3,,F4320309872,False
Cancer Research UK,UK,1292,349,222,27.0,17.2,philanthropy,F4320319985,True
Syöpäsäätiö,Finland,100,27,14,27.0,14.0,,F4320326591,False
Naito Foundation,Japan,130,35,11,26.9,8.5,,F4320309785,False
Deutsches Zentrum für Infektionsforschung,Germany,171,46,15,26.9,8.8,,F4320311052,False
"University of California, Davis",USA,208,56,28,26.9,13.5,,F4320332564,False
Knut och Alice Wallenbergs Stiftelse,Sweden,805,216,137,26.8,17.0,,F4320322327,False
NHLBI Division of Intramural Research,USA,246,66,29,26.8,11.8,,F4320338421,False
The Wellcome Trust DBT India Alliance,India,153,41,17,26.8,11.1,,F4320325580,False
Department of Energy,USA,1586,425,248,26.8,15.6,government,F4320306084,True
Centre National de la Recherche Scientifique,France,697,186,103,26.7,14.8,government,F4320322892,True
Julius-Maximilians-Universität Würzburg,Germany,101,27,23,26.7,22.8,,F4320325356,False
Sveriges Lantbruksuniversitet,Sweden,184,49,19,26.6,10.3,,F4320322582,False
Medical Research Foundation,UK,189,50,35,26.5,18.5,government,F4320338126,True
Yale University,USA,231,61,42,26.4,18.2,,F4320308380,False
Division of Environmental Biology,USA,148,39,29,26.4,19.6,,F4320337400,False
Massachusetts Institute of Technology,USA,122,32,16,26.2,13.1,,F4320309369,False
Chan Zuckerberg Initiative,USA,203,53,62,26.1,30.5,,F4320315474,False
Agence Nationale de la Recherche,France,2644,689,439,26.1,16.6,government,F4320320883,True
Universität Wien,Austria,346,90,38,26.0,11.0,,F4320321691,False
United States Department of Agriculture,USA,1277,331,139,25.9,10.9,government,F4320306114,True
Indian Council of Agricultural Research,India,178,46,10,25.8,5.6,,F4320320769,False
Fonds De La Recherche Scientifique - FNRS,Belgium,339,87,45,25.7,13.3,,F4320321390,False
Nuclear Safety and Security Commission,Korea,152,39,31,25.7,20.4,,F4320322037,False
University of Exeter,UK,134,34,21,25.4,15.7,,F4320320275,False
Ligue Contre le Cancer,France,225,57,25,25.3,11.1,,F4320322363,False
Carlsbergfondet,Denmark,131,33,22,25.2,16.8,,F4320321504,False
Agricultural Science and Technology Innovation Program,China,286,72,7,25.2,2.4,,F4320335848,False
University of Oxford,UK,468,118,94,25.2,20.1,,F4320320290,False
National Oceanic and Atmospheric Administration,USA,175,44,38,25.1,21.7,,F4320332181,False
University of Minnesota,USA,207,52,28,25.1,13.5,,F4320309636,False
Horizon 2020 Framework Programme,,2408,605,441,25.1,18.3,,F4320332999,False
Volkswagen Foundation,Germany,252,63,45,25.0,17.9,government,F4320320882,True
Michael J. Fox Foundation for Parkinson's Research,USA,264,66,52,25.0,19.7,,F4320306136,False
U.S. Fish and Wildlife Service,USA,112,28,17,25.0,15.2,,F4320332182,False
Earmarked Fund for China Agriculture Research System,China,201,50,7,24.9,3.5,,F4320335447,False
Academy of Medical Sciences,UK,169,42,20,24.9,11.8,,F4320320241,False
Gordon and Betty Moore Foundation,USA,306,76,58,24.8,19.0,,F4320306202,False
Business Finland,Finland,105,26,14,24.8,13.3,,F4320328501,False
Deutsche Krebshilfe,Germany,326,81,36,24.8,11.0,,F4320323556,False
Vlaamse regering,Belgium,492,122,91,24.8,18.5,,F4320327336,False
Sigrid Juselius Foundation (Finland),Finland,327,81,40,24.8,12.2,,F4320323760,False
Harvard University,USA,129,32,21,24.8,16.3,,F4320309622,False
Alzheimer's Society,UK,170,42,33,24.7,19.4,,F4320317015,False
National Science Foundation,USA,7611,1878,1402,24.7,18.4,government,F4320306076,True
Czech Science Foundation,Czech Republic,949,233,94,24.6,9.9,government,F4320321006,True
"Consejo Nacional de Ciencia y Tecnología, Paraguay",PY,183,45,20,24.6,10.9,,F4320328088,False
Fundacja na rzecz Nauki Polskiej,Poland,155,38,18,24.5,11.6,,F4320321042,False
Moonshot Research and Development Program,Japan,155,38,23,24.5,14.8,,F4320338247,False
University of Texas MD Anderson Cancer Center,USA,164,40,17,24.4,10.4,,F4320332521,False
Novo Nordisk Foundation,Denmark,1088,265,165,24.4,15.2,government,F4320325957,True
Helmholtz Association,Germany,181,44,41,24.3,22.7,government,F4320325698,True
National Center for Research Resources,USA,140,34,15,24.3,10.7,,F4320337375,False
Consejo Superior de Investigaciones Científicas,Spain,325,79,27,24.3,8.3,,F4320334857,False
Stockholms Universitet,Sweden,157,38,17,24.2,10.8,,F4320325669,False
Canada First Research Excellence Fund,Canada,128,31,21,24.2,16.4,government,F4320326644,True
Wellcome Trust,UK,4752,1146,803,24.1,16.9,philanthropy,F4320311904,True
National Research Foundation Singapore,Singapore,245,59,29,24.1,11.8,,F4320320709,False
Office of Defense Programs,USA,331,79,48,23.9,14.5,,F4320337003,False
Universität Hamburg,Germany,109,26,26,23.9,23.9,,F4320323381,False
Commonwealth Scientific and Industrial Research Organisation,Australia,126,30,18,23.8,14.3,,F4320320386,False
Michigan State University,USA,131,31,21,23.7,16.0,,F4320310016,False
Svenska Sällskapet för Medicinsk Forskning,Sweden,152,36,11,23.7,7.2,,F4320322128,False
Rosetrees Trust,UK,237,56,36,23.6,15.2,government,F4320320320,True
CHIST-ERA,France,196,46,36,23.5,18.4,,F4320338463,False
National Institute of Food and Agriculture,USA,1157,271,142,23.4,12.3,,F4320332299,False
Alfred P. Sloan Foundation,USA,201,47,51,23.4,25.4,,F4320306151,False
Swiss National Science Foundation,Switzerland,3496,818,559,23.4,16.0,government,F4320320924,True
National Institute of Health and Medical Research (INSERM),France,601,140,74,23.3,12.3,,F4320320893,False
Northwestern University,USA,236,55,33,23.3,14.0,,F4320309475,False
Chinese Academy of Sciences,China,1122,261,86,23.3,7.7,,F4320321133,False
Villum Fonden,Denmark,181,42,24,23.2,13.3,,F4320310490,False
Lundbeckfonden,Denmark,302,70,44,23.2,14.6,,F4320321999,False
Department of Biotechnology,India,435,100,33,23.0,7.6,government,F4320320717,True
KU Leuven,Belgium,283,65,40,23.0,14.1,,F4320322308,False
Office of Secretary of Energy,USA,527,121,95,23.0,18.0,,F4320332366,False
Stiftelsen för Strategisk Forskning,Sweden,144,33,28,22.9,19.4,,F4320320940,False
Brain and Behavior Research Foundation,USA,118,27,32,22.9,27.1,,F4320306147,False
Research Foundation Flanders,Belgium,947,217,156,22.9,16.5,philanthropy,F4320321730,True
Division of Integrative Organismal Systems,USA,105,24,18,22.9,17.1,,F4320337399,False
Novo Nordisk,Denmark,715,163,105,22.8,14.7,,F4320322436,False
Universiteit Antwerpen,Belgium,101,23,22,22.8,21.8,,F4320324595,False
Rijksuniversiteit Groningen,Netherlands,136,31,17,22.8,12.5,,F4320320933,False
U.S. Department of Defense,USA,1092,249,117,22.8,10.7,,F4320306078,False
Fondazione Cariplo,Italy,119,27,9,22.7,7.6,,F4320321499,False
McGill University,Canada,194,44,25,22.7,12.9,,F4320310638,False
University of Pennsylvania,USA,349,79,53,22.6,15.2,,F4320309370,False
University of South Carolina,USA,111,25,9,22.5,8.1,,F4320310846,False
University of Glasgow,UK,160,36,19,22.5,11.9,,F4320320337,False
Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona,Spain,107,24,12,22.4,11.2,,F4320330256,False
Takeda Science Foundation,Japan,402,90,25,22.4,6.2,government,F4320309807,True
“la Caixa” Foundation,Spain,202,45,20,22.3,9.9,,F4320312058,False
Austrian Science Fund,Austria,1545,343,185,22.2,12.0,government,F4320321181,True
Innovative Medicines Initiative,Belgium,171,38,31,22.2,18.1,,F4320326631,False
Massachusetts General Hospital,USA,113,25,25,22.1,22.1,,F4320308349,False
University of Warwick,UK,131,29,21,22.1,16.0,,F4320320279,False
University of Washington,USA,244,54,39,22.1,16.0,,F4320310094,False
Simons Foundation,USA,372,82,81,22.0,21.8,government,F4320306164,True
Universitat de València,Spain,141,31,7,22.0,5.0,,F4320321974,False
Georg-August-Universität Göttingen,Germany,123,27,19,22.0,15.4,,F4320321870,False
European Federation of Pharmaceutical Industries and Associations,Belgium,178,39,36,21.9,20.2,,F4320314178,False
Hungarian Scientific Research Fund,HU,146,32,10,21.9,6.8,government,F4320321994,True
University of North Carolina at Chapel Hill,USA,128,28,21,21.9,16.4,,F4320332600,False
Universiteit Leiden,Netherlands,101,22,17,21.8,16.8,,F4320320929,False
Universität zu Köln,Germany,110,24,12,21.8,10.9,,F4320324811,False
Israel Science Foundation,Israel,821,179,126,21.8,15.3,government,F4320322252,True
Vanderbilt University,USA,188,41,23,21.8,12.2,,F4320309151,False
Congressionally Directed Medical Research Programs,USA,221,48,19,21.7,8.6,,F4320338273,False
Leona M. and Harry B. Helmsley Charitable Trust,USA,129,28,25,21.7,19.4,,F4320309446,False
Universität Regensburg,Germany,106,23,17,21.7,16.0,,F4320323328,False
Fudan University,China,306,66,18,21.6,5.9,,F4320321851,False
Deutscher Akademischer Austauschdienst,Germany,417,90,51,21.6,12.2,,F4320320875,False
Università degli Studi di Padova,Italy,385,83,33,21.6,8.6,,F4320321966,False
Deutsche Forschungsgemeinschaft,Germany,9344,2021,1284,21.6,13.7,government,F4320320879,True
Radboud Universitair Medisch Centrum,Netherlands,107,23,12,21.5,11.2,,F4320323698,False
Yunnan Provincial Science and Technology Department,China,130,28,4,21.5,3.1,,F4320325440,False
Sun Yat-sen University,China,293,63,17,21.5,5.8,,F4320321160,False
Precursory Research for Embryonic Science and Technology,Japan,173,37,22,21.4,12.7,,F4320338111,False
Welch Foundation,USA,324,69,21,21.3,6.5,government,F4320306196,True
U.S. Department of Health and Human Services,USA,465,99,47,21.3,10.1,,F4320306085,False
UK Dementia Research Institute,UK,165,35,28,21.2,17.0,,F4320329730,False
Academia Sinica,Taiwan,217,46,18,21.2,8.3,,F4320321041,False
Eberhard Karls Universität Tübingen,Germany,213,45,27,21.1,12.7,,F4320321112,False
Key Technologies Research and Development Program,China,303,64,24,21.1,7.9,,F4320335774,False
HORIZON EUROPE Framework Programme,,1002,211,173,21.1,17.3,,F4320334322,False
University of Adelaide,Australia,109,23,13,21.1,11.9,,F4320320978,False
Imperial College London,UK,419,88,74,21.0,17.7,,F4320320283,False
American Heart Association,USA,696,146,56,21.0,8.0,philanthropy,F4320306230,True
Université de Lausanne,Switzerland,309,65,35,21.0,11.3,,F4320323831,False
American Association,USA,696,146,56,21.0,8.0,government,F4320306230,True
Guangdong Science and Technology Department,China,172,36,6,20.9,3.5,,F4320324202,False
Defense Advanced Research Projects Agency,USA,225,47,37,20.9,16.4,government,F4320332180,True
Friedrich-Schiller-Universität Jena,Germany,120,25,16,20.8,13.3,,F4320313941,False
Newcastle University,UK,169,35,15,20.7,8.9,,F4320320295,False
Fonds National de la Recherche Luxembourg,LU,241,50,30,20.7,12.4,,F4320321038,False
Bijzonder Onderzoeksfonds UGent,Belgium,141,29,12,20.6,8.5,,F4320335227,False
Ministry of Environment,Korea,194,40,17,20.6,8.8,,F4320322007,False
Cystic Fibrosis Foundation,USA,166,34,20,20.5,12.0,government,F4320306168,True
Horizon 2020,,542,111,85,20.5,15.7,,F4320335254,False
"Ministry of Education, Youth and Sports (Czech Republic)",Czech Republic,692,142,43,20.5,6.2,,F4320321005,False
National Institutes of Health,USA,28982,5940,3560,20.5,12.3,government,F4320332161,True
Youth Innovation Promotion Association,China,158,32,16,20.3,10.1,government,F4320335892,True
University Grants Commission,India,133,27,5,20.3,3.8,government,F4320320767,True
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,237,48,25,20.3,10.5,,F4320324900,False
Oxford Biomedical Research Centre,UK,233,47,42,20.2,18.0,government,F4320336045,True
Danmarks Grundforskningsfond,Denmark,213,43,40,20.2,18.8,,F4320320943,False
University of Bristol,UK,277,56,56,20.2,20.2,,F4320320360,False
Univerzita Karlova v Praze,Czech Republic,329,66,33,20.1,10.0,,F4320309755,False
BrightFocus Foundation,USA,139,28,23,20.1,16.5,,F4320308990,False
U.S. Geological Survey,USA,145,29,25,20.0,17.2,,F4320332183,False
Lanzhou University,China,100,20,6,20.0,6.0,,F4320313889,False
"Central Public-interest Scientific Institution Basal Research Fund, Chinese Academy of Fishery Sciences",China,191,38,4,19.9,2.1,,F4320338141,False
Leverhulme Trust,UK,738,147,110,19.9,14.9,government,F4320319993,True
National Aeronautics and Space Administration,USA,612,122,96,19.9,15.7,,F4320306101,False
Cancerfonden,Sweden,578,115,61,19.9,10.6,,F4320321491,False
H. Lundbeck A/S,Denmark,263,52,48,19.8,18.3,,F4320327918,False
Universität des Saarlandes,Germany,111,22,10,19.8,9.0,,F4320323322,False
Regeneron Pharmaceuticals,USA,116,23,14,19.8,12.1,,F4320311600,False
Else Kröner-Fresenius-Stiftung,Germany,253,50,36,19.8,14.2,,F4320321672,False
Netherlands Organisation for Scientific Research,Netherlands,1935,381,275,19.7,14.2,government,F4320321800,True
Eesti Teadusagentuur,EE,223,44,28,19.7,12.6,,F4320321090,False
Barts Charity,UK,102,20,10,19.6,9.8,,F4320315977,False
National University of Singapore,Singapore,153,30,17,19.6,11.1,,F4320320698,False
Yangzhou University,China,102,20,1,19.6,1.0,,F4320324130,False
National Postdoctoral Program for Innovative Talents,China,102,20,7,19.6,6.9,,F4320335768,False
Fonds de Recherche du Québec - Santé,Canada,378,74,53,19.6,14.0,,F4320334618,False
University of Southampton,UK,113,22,12,19.5,10.6,,F4320320277,False
Centres de Recerca de Catalunya,Spain,210,41,26,19.5,12.4,,F4320315803,False
Genentech,USA,289,56,37,19.4,12.8,,F4320332193,False
UK Research and Innovation,UK,14781,2868,2015,19.4,13.6,government,F4320314731,True
Japan Agency for Medical Research and Development,Japan,1733,337,119,19.4,6.9,government,F4320311405,True
Bundesministerium fur Bildung und Forschung,Germany,2710,525,409,19.4,15.1,government,F4320321114,True
Pennsylvania State University,USA,103,20,15,19.4,14.6,,F4320310419,False
Fundação Oswaldo Cruz,Brazil,166,32,11,19.3,6.6,,F4320323917,False
Natural Sciences and Engineering Research Council of Canada,Canada,2752,531,358,19.3,13.0,government,F4320334593,True
Australian Research Council,Australia,1223,236,137,19.3,11.2,government,F4320334704,True
Purdue University,USA,109,21,7,19.3,6.4,,F4320309036,False
Celgene,USA,120,23,17,19.2,14.2,,F4320309086,False
Universitetet i Bergen,Norway,182,35,22,19.2,12.1,,F4320323078,False
Shanghai Municipal Commission,China,141,27,7,19.1,5.0,government,F4320321881,True
Shanghai Municipal Education Commission,China,141,27,7,19.1,5.0,government,F4320321881,True
Ministry of Science and Technology of the People's Republic of China,China,564,108,33,19.1,5.9,,F4320321540,False
State Research Agency (Spain),Spain,1985,379,173,19.1,8.7,,F4320335598,False
University of Illinois at Urbana-Champaign,USA,152,29,21,19.1,13.8,,F4320332222,False
"Council of Scientific and Industrial Research, India",India,199,38,12,19.1,6.0,,F4320320721,False
"Ministério da Ciência, Tecnologia e Inovação",Brazil,115,22,8,19.1,7.0,,F4320321992,False
Chinese Academy of Medical Sciences,China,304,58,23,19.1,7.6,,F4320323137,False
Taishan Scholar Foundation of Shandong Province,China,141,27,8,19.1,5.7,,F4320326185,False
Danmarks Frie Forskningsfond,Denmark,142,27,15,19.0,10.6,,F4320327387,False
Ministry of Education - Singapore,Singapore,242,46,30,19.0,12.4,,F4320320751,False
University of Queensland,Australia,221,42,23,19.0,10.4,,F4320320984,False
Japan Science and Technology Agency,Japan,945,180,74,19.0,7.8,government,F4320334789,True
Turun Yliopisto,Finland,126,24,13,19.0,10.3,,F4320323313,False
Chulalongkorn University,Thailand,212,40,11,18.9,5.2,,F4320321557,False
University of New South Wales,Australia,259,49,37,18.9,14.3,,F4320320965,False
Academy of Finland,Finland,1020,193,113,18.9,11.1,,F4320321108,False
"Ministry of Business, Innovation and Employment",New Zealand,117,22,16,18.8,13.7,,F4320321983,False
"Agency for Science, Technology and Research",Singapore,202,38,26,18.8,12.9,,F4320320696,False
Danmarks Frie Forskningsfond,Denmark,186,35,26,18.8,14.0,,F4320322928,False
Emory University,USA,218,41,27,18.8,12.4,,F4320309381,False
Macquarie University,Australia,107,20,15,18.7,14.0,,F4320320591,False
Ohio State University,USA,166,31,13,18.7,7.8,,F4320309374,False
Defense Threat Reduction Agency,USA,123,23,13,18.7,10.6,government,F4320332186,True
Johns Hopkins University,USA,348,65,41,18.7,11.8,,F4320310145,False
Zhejiang University,China,296,55,20,18.6,6.8,,F4320322927,False
Swedish Research Council,Sweden,3037,566,352,18.6,11.6,government,F4320322581,True
Robert Koch Institut,Germany,102,19,12,18.6,11.8,,F4320332132,False
Innovációs és Technológiai Minisztérium,HU,113,21,11,18.6,9.7,,F4320328991,False
University of Pittsburgh,USA,189,35,22,18.5,11.6,,F4320310174,False
Suomen Kulttuurirahasto,Finland,271,50,30,18.5,11.1,,F4320321726,False
Svenska Forskningsrådet Formas,Sweden,492,91,71,18.5,14.4,,F4320321033,False
