journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct
Nature Structural & Molecular Biology,151,130.0,52.0,139.0,127.0,12.0,3.0,86.1,34.4
Microbial Genomics,223,189.0,74.0,1.0,1.0,222.0,188.0,84.8,33.2
Molecular & Cellular Proteomics,207,169.0,41.0,0.0,0.0,207.0,169.0,81.6,19.8
Cell Genomics,182,146.0,119.0,4.0,4.0,178.0,142.0,80.2,65.4
Genome Research,217,165.0,135.0,2.0,2.0,215.0,163.0,76.0,62.2
Journal of Cognition,103,75.0,54.0,8.0,6.0,95.0,69.0,72.8,52.4
Cell Reports Methods,189,134.0,92.0,2.0,1.0,187.0,133.0,70.9,48.7
Environmental Microbiome,180,127.0,48.0,123.0,109.0,57.0,18.0,70.6,26.7
Nature Genetics,227,160.0,135.0,165.0,152.0,62.0,8.0,70.5,59.5
Nature Microbiology,194,135.0,87.0,158.0,126.0,36.0,9.0,69.6,44.8
Nature Biotechnology,120,83.0,58.0,117.0,83.0,3.0,0.0,69.2,48.3
Cancer Research,121,83.0,20.0,5.0,4.0,116.0,79.0,68.6,16.5
Cell Reports Medicine,535,359.0,187.0,8.0,7.0,527.0,352.0,67.1,35.0
Genome biology,459,305.0,252.0,318.0,284.0,141.0,21.0,66.4,54.9
Scientific Data,2421,1588.0,904.0,1694.0,1031.0,727.0,557.0,65.6,37.3
Cell Reports,645,417.0,201.0,25.0,20.0,620.0,397.0,64.7,31.2
Attention Perception & Psychophysics,116,73.0,53.0,98.0,67.0,18.0,6.0,62.9,45.7
Nature Immunology,113,71.0,42.0,85.0,66.0,28.0,5.0,62.8,37.2
Psychological Research,111,69.0,38.0,92.0,59.0,19.0,10.0,62.2,34.2
Nature Cell Biology,124,77.0,63.0,99.0,75.0,25.0,2.0,62.1,50.8
Microbiome,380,236.0,87.0,275.0,219.0,105.0,17.0,62.1,22.9
Animal Microbiome,140,85.0,29.0,87.0,70.0,53.0,15.0,60.7,20.7
Cognitive Research Principles and Implications,106,64.0,42.0,80.0,55.0,26.0,9.0,60.4,39.6
Behavior Research Methods,249,149.0,158.0,184.0,120.0,65.0,29.0,59.8,63.5
Genome Medicine,207,123.0,75.0,157.0,114.0,50.0,9.0,59.4,36.2
BMC Genomic Data,144,85.0,9.0,113.0,77.0,31.0,8.0,59.0,6.2
Nature Methods,212,125.0,130.0,165.0,118.0,47.0,7.0,59.0,61.3
PLoS Biology,648,381.0,259.0,266.0,144.0,382.0,237.0,58.8,40.0
Microbial Ecology,202,118.0,39.0,144.0,97.0,58.0,21.0,58.4,19.3
Stem Cell Reports,164,95.0,21.0,0.0,0.0,164.0,95.0,57.9,12.8
Nature Ecology & Evolution,129,74.0,73.0,104.0,71.0,25.0,3.0,57.4,56.6
Nature Metabolism,104,59.0,31.0,89.0,58.0,15.0,1.0,56.7,29.8
Nature Chemistry,122,68.0,21.0,107.0,68.0,15.0,0.0,55.7,17.2
Nature Neuroscience,173,96.0,83.0,136.0,94.0,37.0,2.0,55.5,48.0
MycoKeys,242,134.0,1.0,53.0,32.0,189.0,102.0,55.4,0.4
BMC Genomics,1747,962.0,262.0,1283.0,864.0,464.0,98.0,55.1,15.0
Patterns,123,67.0,73.0,1.0,0.0,122.0,67.0,54.5,59.3
Communications Psychology,185,100.0,106.0,129.0,86.0,56.0,14.0,54.1,57.3
BMC Biology,431,228.0,112.0,313.0,205.0,118.0,23.0,52.9,26.0
PLoS Genetics,458,234.0,100.0,216.0,121.0,242.0,113.0,51.1,21.8
iScience,3514,1785.0,1036.0,13.0,8.0,3501.0,1777.0,50.8,29.5
International Journal for Parasitology Parasites and Wildlife,162,81.0,1.0,0.0,0.0,162.0,81.0,50.0,0.6
Parasite,104,52.0,0.0,0.0,0.0,104.0,52.0,50.0,0.0
Mitochondrial DNA Part B,451,222.0,5.0,0.0,0.0,451.0,222.0,49.2,1.1
JCI Insight,691,338.0,60.0,16.0,9.0,675.0,329.0,48.9,8.7
npj Biofilms and Microbiomes,225,109.0,43.0,150.0,100.0,75.0,9.0,48.4,19.1
BMC Microbiology,874,421.0,32.0,593.0,360.0,281.0,61.0,48.2,3.7
Communications Biology,2503,1181.0,560.0,1822.0,1095.0,681.0,86.0,47.2,22.4
Plant Communications,231,107.0,21.0,0.0,0.0,231.0,107.0,46.3,9.1
Nature Communications,15129,6835.0,3401.0,11608.0,6486.0,3521.0,349.0,45.2,22.5
Cell Death and Differentiation,120,54.0,7.0,113.0,53.0,7.0,1.0,45.0,5.8
HardwareX,147,65.0,46.0,0.0,0.0,147.0,65.0,44.2,31.3
Parasitology,159,70.0,7.0,93.0,43.0,66.0,27.0,44.0,4.4
Data in Brief,1629,714.0,169.0,0.0,0.0,1629.0,714.0,43.8,10.4
FEMS Microbiology Ecology,199,87.0,33.0,0.0,0.0,199.0,87.0,43.7,16.6
Journal of Clinical Investigation,800,346.0,46.0,17.0,10.0,783.0,336.0,43.2,5.8
Cell Discovery,112,48.0,14.0,81.0,48.0,31.0,0.0,42.9,12.5
Oncogene,169,72.0,12.0,146.0,70.0,23.0,2.0,42.6,7.1
Access Microbiology,214,91.0,11.0,0.0,0.0,214.0,91.0,42.5,5.1
Human Genetics and Genomics Advances,139,57.0,38.0,3.0,1.0,136.0,56.0,41.0,27.3
IUCrJ,115,47.0,13.0,0.0,0.0,115.0,47.0,40.9,11.3
eLife,1459,595.0,363.0,839.0,486.0,620.0,109.0,40.8,24.9
Cancer Research Communications,313,124.0,35.0,3.0,1.0,310.0,123.0,39.6,11.2
PLANT PHYSIOLOGY,370,146.0,12.0,0.0,0.0,370.0,146.0,39.5,3.2
Nature Medicine,349,137.0,152.0,270.0,129.0,79.0,8.0,39.3,43.6
Applied Microbiology and Biotechnology,551,215.0,42.0,472.0,198.0,79.0,17.0,39.0,7.6
Brazilian Journal of Microbiology,177,68.0,5.0,175.0,68.0,2.0,0.0,38.4,2.8
Parasitology Research,141,54.0,12.0,96.0,44.0,45.0,10.0,38.3,8.5
Frontiers in Microbiology,3850,1443.0,97.0,1804.0,907.0,2046.0,536.0,37.5,2.5
BMC Ecology and Evolution,198,74.0,39.0,157.0,68.0,41.0,6.0,37.4,19.7
Environmental Microbiology Reports,201,75.0,19.0,21.0,18.0,180.0,57.0,37.3,9.5
Clinical Cancer Research,214,79.0,24.0,4.0,2.0,210.0,77.0,36.9,11.2
Gut Pathogens,103,38.0,4.0,80.0,35.0,23.0,3.0,36.9,3.9
BMC Medical Genomics,350,128.0,24.0,287.0,126.0,63.0,2.0,36.6,6.9
Journal of Proteome Research,205,74.0,32.0,2.0,2.0,203.0,72.0,36.1,15.6
Microbiology,115,41.0,13.0,0.0,0.0,115.0,41.0,35.7,11.3
npj Science of Learning,107,37.0,33.0,74.0,29.0,33.0,8.0,34.6,30.8
Virus Evolution,134,46.0,21.0,0.0,0.0,134.0,46.0,34.3,15.7
Current Research in Microbial Sciences,135,46.0,8.0,0.0,0.0,135.0,46.0,34.1,5.9
Journal of Biological Chemistry,1444,491.0,71.0,11.0,5.0,1433.0,486.0,34.0,4.9
The Plant Cell,204,69.0,14.0,0.0,0.0,204.0,69.0,33.8,6.9
BMC Plant Biology,1982,668.0,78.0,1378.0,585.0,604.0,83.0,33.7,3.9
Molecular Therapy,123,41.0,8.0,2.0,2.0,121.0,39.0,33.3,6.5
Nature,1722,552.0,408.0,1459.0,519.0,263.0,33.0,32.1,23.7
PLoS Pathogens,937,298.0,72.0,400.0,196.0,537.0,102.0,31.8,7.7
Theoretical and Applied Genetics,127,40.0,48.0,98.0,38.0,29.0,2.0,31.5,37.8
The Plant Journal,172,54.0,26.0,40.0,16.0,132.0,38.0,31.4,15.1
Open Research Europe,222,69.0,42.0,166.0,57.0,56.0,12.0,31.1,18.9
EBioMedicine,681,211.0,113.0,7.0,2.0,674.0,209.0,31.0,16.6
Nature Materials,110,33.0,13.0,98.0,33.0,12.0,0.0,30.0,11.8
Parasites & Vectors,704,211.0,32.0,536.0,171.0,168.0,40.0,30.0,4.5
npj Precision Oncology,441,132.0,86.0,303.0,122.0,138.0,10.0,29.9,19.5
Oecologia,104,30.0,39.0,77.0,30.0,27.0,0.0,28.8,37.5
Molecular Psychiatry,303,85.0,59.0,289.0,83.0,14.0,2.0,28.1,19.5
npj Genomic Medicine,107,30.0,16.0,76.0,28.0,31.0,2.0,28.0,15.0
STAR Protocols,1033,283.0,231.0,4.0,0.0,1029.0,283.0,27.4,22.4
AMB Express,222,60.0,6.0,151.0,49.0,71.0,11.0,27.0,2.7
Protein Science,310,83.0,34.0,31.0,12.0,279.0,71.0,26.8,11.0
Transboundary and Emerging Diseases,234,62.0,2.0,2.0,1.0,232.0,61.0,26.5,0.9
BMC Bioinformatics,526,139.0,286.0,410.0,125.0,116.0,14.0,26.4,54.4
Virus Research,210,55.0,3.0,1.0,0.0,209.0,55.0,26.2,1.4
Rice,115,30.0,5.0,80.0,27.0,35.0,3.0,26.1,4.3
PhytoKeys,305,79.0,7.0,62.0,20.0,243.0,59.0,25.9,2.3
Leukemia,233,60.0,6.0,199.0,58.0,34.0,2.0,25.8,2.6
Clinical Epigenetics,246,63.0,36.0,180.0,58.0,66.0,5.0,25.6,14.6
Microbial Cell Factories,439,111.0,13.0,355.0,94.0,84.0,17.0,25.3,3.0
Bone Research,108,27.0,2.0,75.0,24.0,33.0,3.0,25.0,1.9
Molecular Cancer,237,59.0,21.0,176.0,54.0,61.0,5.0,24.9,8.9
Molecular Ecology,109,27.0,38.0,18.0,10.0,91.0,17.0,24.8,34.9
Communications Medicine,467,115.0,108.0,298.0,104.0,169.0,11.0,24.6,23.1
Acta Neuropathologica,168,41.0,12.0,126.0,40.0,42.0,1.0,24.4,7.1
Signal Transduction and Targeted Therapy,380,92.0,15.0,278.0,86.0,102.0,6.0,24.2,3.9
Frontiers in Bioinformatics,121,29.0,21.0,46.0,17.0,75.0,12.0,24.0,17.4
Psychophysiology,125,30.0,30.0,22.0,8.0,103.0,22.0,24.0,24.0
Frontiers in Cellular and Infection Microbiology,1422,340.0,44.0,604.0,207.0,818.0,133.0,23.9,3.1
Dalton Transactions,336,80.0,0.0,316.0,69.0,20.0,11.0,23.8,0.0
npj Systems Biology and Applications,194,46.0,89.0,151.0,45.0,43.0,1.0,23.7,45.9
Journal of Neuroscience,173,41.0,46.0,9.0,0.0,164.0,41.0,23.7,26.6
British Journal of Cancer,274,65.0,28.0,247.0,64.0,27.0,1.0,23.7,10.2
European Journal of Clinical Microbiology & Infectious Diseases,139,33.0,4.0,118.0,29.0,21.0,4.0,23.7,2.9
RSC Chemical Biology,153,36.0,3.0,62.0,14.0,91.0,22.0,23.5,2.0
Cell Death and Disease,1170,272.0,36.0,840.0,236.0,330.0,36.0,23.2,3.1
ZooKeys,649,150.0,14.0,151.0,49.0,498.0,101.0,23.1,2.2
Biodiversity Data Journal,433,100.0,18.0,103.0,32.0,330.0,68.0,23.1,4.2
Journal of Experimental & Clinical Cancer Research,406,93.0,11.0,283.0,78.0,123.0,15.0,22.9,2.7
Frontiers in Genetics,1284,294.0,87.0,629.0,226.0,655.0,68.0,22.9,6.8
Stem Cell Research & Therapy,606,137.0,16.0,426.0,133.0,180.0,4.0,22.6,2.6
PLoS Computational Biology,1064,238.0,591.0,474.0,179.0,590.0,59.0,22.4,55.5
Communications Chemistry,451,100.0,39.0,328.0,94.0,123.0,6.0,22.2,8.6
Molecular Metabolism,255,56.0,8.0,2.0,1.0,253.0,55.0,22.0,3.1
Journal of Racial and Ethnic Health Disparities,157,34.0,7.0,157.0,34.0,0.0,0.0,21.7,4.5
Movement Ecology,120,26.0,35.0,85.0,26.0,35.0,0.0,21.7,29.2
Journal of Animal Science and Biotechnology/Journal of animal science and biotechnology,232,50.0,6.0,165.0,46.0,67.0,4.0,21.6,2.6
PLoS neglected tropical diseases,950,205.0,64.0,406.0,136.0,544.0,69.0,21.6,6.7
Experimental & Molecular Medicine,219,47.0,7.0,162.0,39.0,57.0,8.0,21.5,3.2
NAR Genomics and Bioinformatics,248,53.0,77.0,1.0,1.0,247.0,52.0,21.4,31.0
Cellular and Molecular Life Sciences,617,131.0,26.0,471.0,121.0,146.0,10.0,21.2,4.2
Global Change Biology,179,38.0,36.0,25.0,15.0,154.0,23.0,21.2,20.1
Annals of Clinical Microbiology and Antimicrobials,133,28.0,2.0,110.0,27.0,23.0,1.0,21.1,1.5
Open Biology,147,31.0,9.0,1.0,1.0,146.0,30.0,21.1,6.1
Journal of Biomedical Science,114,24.0,4.0,88.0,22.0,26.0,2.0,21.1,3.5
Journal of Cheminformatics,223,47.0,115.0,156.0,42.0,67.0,5.0,21.1,51.6
Molecular Neurodegeneration,110,23.0,7.0,76.0,19.0,34.0,4.0,20.9,6.4
Frontiers in Plant Science,3649,764.0,113.0,1630.0,503.0,2019.0,261.0,20.9,3.1
GigaScience,177,37.0,64.0,2.0,2.0,175.0,35.0,20.9,36.2
Lipids in Health and Disease,566,118.0,10.0,424.0,107.0,142.0,11.0,20.8,1.8
Database,131,27.0,24.0,2.0,1.0,129.0,26.0,20.6,18.3
Plant Direct,122,25.0,10.0,11.0,1.0,111.0,24.0,20.5,8.2
BMC Veterinary Research,943,192.0,14.0,643.0,147.0,300.0,45.0,20.4,1.5
Microbial Biotechnology,236,48.0,10.0,20.0,4.0,216.0,44.0,20.3,4.2
Genome Biology and Evolution,333,67.0,80.0,2.0,2.0,331.0,65.0,20.1,24.0
ISME Communications,254,51.0,31.0,0.0,0.0,254.0,51.0,20.1,12.2
Journal of Fungi,1092,219.0,7.0,238.0,74.0,854.0,145.0,20.1,0.6
Virology Journal,457,92.0,13.0,323.0,75.0,134.0,17.0,20.1,2.8
mSystems,479,95.0,61.0,2.0,1.0,477.0,94.0,19.8,12.7
PLoS Medicine,203,40.0,47.0,102.0,21.0,101.0,19.0,19.7,23.2
Veterinary Research,265,52.0,9.0,186.0,44.0,79.0,8.0,19.6,3.4
Veterinary Research Communications,138,27.0,3.0,105.0,21.0,33.0,6.0,19.6,2.2
Journal of Neuroinflammation,443,87.0,27.0,331.0,74.0,112.0,13.0,19.6,6.1
Microorganisms,3132,610.0,35.0,651.0,163.0,2481.0,447.0,19.5,1.1
Journal of Genetic Engineering and Biotechnology,124,24.0,1.0,0.0,0.0,124.0,24.0,19.4,0.8
Journal of Bacteriology,119,23.0,7.0,0.0,0.0,119.0,23.0,19.3,5.9
Biotechnology for Biofuels and Bioproducts,198,38.0,8.0,151.0,33.0,47.0,5.0,19.2,4.0
Biology of Sex Differences,125,24.0,15.0,97.0,23.0,28.0,1.0,19.2,12.0
Horticulture Research,452,86.0,18.0,0.0,0.0,452.0,86.0,19.0,4.0
Archives of Sexual Behavior,148,28.0,14.0,131.0,27.0,17.0,1.0,18.9,9.5
G3 Genes Genomes Genetics,352,66.0,74.0,0.0,0.0,352.0,66.0,18.8,21.0
Frontiers in Molecular Biosciences,543,102.0,24.0,258.0,68.0,285.0,34.0,18.8,4.4
Animal Cognition,118,22.0,22.0,86.0,20.0,32.0,2.0,18.6,18.6
International Journal of Molecular Medicine,102,19.0,2.0,57.0,15.0,45.0,4.0,18.6,2.0
The ISME Journal,341,63.0,39.0,1.0,1.0,340.0,62.0,18.5,11.4
Human Genomics,163,30.0,13.0,122.0,28.0,41.0,2.0,18.4,8.0
Genetics Selection Evolution,104,19.0,13.0,78.0,19.0,26.0,0.0,18.3,12.5
Emerging Microbes & Infections,378,69.0,13.0,2.0,0.0,376.0,69.0,18.3,3.4
Emerging infectious diseases,615,112.0,25.0,2.0,0.0,613.0,112.0,18.2,4.1
Plant Cell & Environment,110,20.0,9.0,34.0,11.0,76.0,9.0,18.2,8.2
Journal of Translational Medicine,1409,257.0,97.0,1007.0,225.0,402.0,32.0,18.2,6.9
Plant Biotechnology Journal,349,63.0,15.0,39.0,13.0,310.0,50.0,18.1,4.3
Animal nutrition,182,33.0,2.0,0.0,0.0,182.0,33.0,18.1,1.1
Frontiers in Molecular Neuroscience,250,45.0,9.0,135.0,36.0,115.0,9.0,18.0,3.6
Antimicrobial Resistance and Infection Control,189,34.0,5.0,140.0,29.0,49.0,5.0,18.0,2.6
BMC Biotechnology,152,27.0,0.0,124.0,24.0,28.0,3.0,17.8,0.0
Experimental Brain Research,130,23.0,23.0,86.0,19.0,44.0,4.0,17.7,17.7
npj Breast Cancer,148,26.0,19.0,113.0,23.0,35.0,3.0,17.6,12.8
Molecular Biology and Evolution,354,62.0,86.0,1.0,1.0,353.0,61.0,17.5,24.3
Neoplasia,177,31.0,8.0,0.0,0.0,177.0,31.0,17.5,4.5
European Journal of Human Genetics,184,32.0,12.0,172.0,30.0,12.0,2.0,17.4,6.5
Nucleic Acids Research,1610,278.0,230.0,17.0,16.0,1593.0,262.0,17.3,14.3
Life Science Alliance,352,61.0,25.0,0.0,0.0,352.0,61.0,17.3,7.1
Pathogens,1185,204.0,9.0,301.0,74.0,884.0,130.0,17.2,0.8
Journal of Vision,244,42.0,37.0,1.0,0.0,243.0,42.0,17.2,15.2
Journal of Medicinal Chemistry,296,51.0,2.0,0.0,0.0,296.0,51.0,17.2,0.7
npj Microgravity,117,20.0,18.0,98.0,20.0,19.0,0.0,17.1,15.4
Viruses,2076,356.0,24.0,457.0,122.0,1619.0,234.0,17.1,1.2
Blood Cancer Journal,140,24.0,8.0,105.0,20.0,35.0,4.0,17.1,5.7
Aging,751,128.0,49.0,564.0,97.0,187.0,31.0,17.0,6.5
Acta Neuropathologica Communications,290,49.0,20.0,199.0,44.0,91.0,5.0,16.9,6.9
Gut Microbes,414,70.0,31.0,1.0,1.0,413.0,69.0,16.9,7.5
Cell Communication and Signaling,690,116.0,19.0,501.0,97.0,189.0,19.0,16.8,2.8
JHEP Reports,240,40.0,8.0,0.0,0.0,240.0,40.0,16.7,3.3
Synthetic and Systems Biotechnology,168,28.0,13.0,0.0,0.0,168.0,28.0,16.7,7.7
Cellular and Molecular Gastroenterology and Hepatology,114,19.0,3.0,0.0,0.0,114.0,19.0,16.7,2.6
Infectious Diseases of Poverty,120,20.0,7.0,77.0,17.0,43.0,3.0,16.7,5.8
BMC Research Notes,619,102.0,24.0,450.0,90.0,169.0,12.0,16.5,3.9
International Journal of Microbiology,109,18.0,0.0,0.0,0.0,109.0,18.0,16.5,0.0
The EMBO Journal,403,66.0,67.0,4.0,4.0,399.0,62.0,16.4,16.6
Journal of Insect Science,153,25.0,8.0,0.0,0.0,153.0,25.0,16.3,5.2
eNeuro,461,75.0,116.0,2.0,0.0,459.0,75.0,16.3,25.2
npj Parkinson s Disease,371,60.0,73.0,248.0,55.0,123.0,5.0,16.2,19.7
Frontiers in Veterinary Science,2238,363.0,25.0,1001.0,240.0,1237.0,123.0,16.2,1.1
Journal of Extracellular Vesicles,188,30.0,8.0,18.0,4.0,170.0,26.0,16.0,4.3
Ecology and Evolution,2325,372.0,213.0,136.0,75.0,2189.0,297.0,16.0,9.2
Journal of Lipid Research,257,41.0,9.0,1.0,0.0,256.0,41.0,16.0,3.5
Cell & Bioscience,189,30.0,9.0,138.0,25.0,51.0,5.0,15.9,4.8
npj Vaccines,339,54.0,30.0,254.0,47.0,85.0,7.0,15.9,8.8
Molecular Therapy Oncology,183,29.0,5.0,1.0,0.0,182.0,29.0,15.8,2.7
Biological Research,120,19.0,5.0,96.0,17.0,24.0,2.0,15.8,4.2
International Journal of Behavioral Nutrition and Physical Activity,172,27.0,8.0,132.0,26.0,40.0,1.0,15.7,4.7
Developmental Cognitive Neuroscience,168,26.0,23.0,0.0,0.0,168.0,26.0,15.5,13.7
Microbiology Spectrum,1737,269.0,77.0,3.0,1.0,1734.0,268.0,15.5,4.4
mSphere,438,68.0,21.0,0.0,0.0,438.0,68.0,15.5,4.8
The Analyst,104,16.0,8.0,84.0,11.0,20.0,5.0,15.4,7.7
Diabetologia,208,32.0,15.0,175.0,30.0,33.0,2.0,15.4,7.2
Chemical Science,2486,378.0,98.0,1000.0,133.0,1486.0,245.0,15.2,3.9
BMC Medicine,788,119.0,70.0,584.0,109.0,204.0,10.0,15.1,8.9
Non-coding RNA Research,120,18.0,3.0,0.0,0.0,120.0,18.0,15.0,2.5
EMBO Reports,401,60.0,28.0,1.0,1.0,400.0,59.0,15.0,7.0
Cellular & Molecular Biology Letters,173,26.0,6.0,137.0,24.0,36.0,2.0,15.0,3.5
mBio,965,145.0,49.0,13.0,10.0,952.0,135.0,15.0,5.1
Molecular Therapy — Nucleic Acids,369,55.0,26.0,3.0,1.0,366.0,54.0,14.9,7.0
Physical Chemistry Chemical Physics,539,79.0,34.0,489.0,63.0,50.0,16.0,14.7,6.3
Applied and Environmental Microbiology,428,63.0,27.0,0.0,0.0,428.0,63.0,14.7,6.3
Frontiers in Immunology,5876,859.0,223.0,2745.0,543.0,3131.0,316.0,14.6,3.8
Molecular Therapy — Methods & Clinical Development,260,38.0,16.0,1.0,0.0,259.0,38.0,14.6,6.2
Cell Death Discovery,652,95.0,14.0,479.0,83.0,173.0,12.0,14.6,2.1
Breast Cancer Research,281,41.0,18.0,198.0,38.0,83.0,3.0,14.6,6.4
Physiologia Plantarum,117,17.0,6.0,19.0,6.0,98.0,11.0,14.5,5.1
Computational and Structural Biotechnology Journal,575,83.0,107.0,1.0,0.0,574.0,83.0,14.4,18.6
Journal of Veterinary Research,105,15.0,0.0,0.0,0.0,105.0,15.0,14.3,0.0
Frontiers in Cell and Developmental Biology,842,120.0,24.0,433.0,91.0,409.0,29.0,14.3,2.9
ChemBioChem,119,17.0,1.0,25.0,1.0,94.0,16.0,14.3,0.8
Vavilov Journal of Genetics and Breeding,140,20.0,2.0,30.0,4.0,110.0,16.0,14.3,1.4
Molecular Plant Pathology,154,22.0,10.0,13.0,2.0,141.0,20.0,14.3,6.5
PLoS ONE,24182,3427.0,1654.0,10577.0,2513.0,13605.0,914.0,14.2,6.8
Development,212,30.0,26.0,2.0,2.0,210.0,28.0,14.2,12.3
Redox Biology,558,79.0,9.0,0.0,0.0,558.0,79.0,14.2,1.6
Molecular Biology of the Cell,221,31.0,14.0,1.0,1.0,220.0,30.0,14.0,6.3
Journal of Chemical Information and Modeling,358,50.0,50.0,2.0,1.0,356.0,49.0,14.0,14.0
Nutrition & Metabolism,150,21.0,5.0,108.0,14.0,42.0,7.0,14.0,3.3
Diabetology & Metabolic Syndrome,456,64.0,8.0,308.0,49.0,148.0,15.0,14.0,1.8
Nutrition Journal,218,30.0,4.0,156.0,27.0,62.0,3.0,13.8,1.8
Virulence,195,27.0,5.0,0.0,0.0,195.0,27.0,13.8,2.6
Fluids and Barriers of the CNS,145,20.0,10.0,111.0,19.0,34.0,1.0,13.8,6.9
Journal of Microbiology and Biotechnology,304,42.0,3.0,0.0,0.0,304.0,42.0,13.8,1.0
Genes & Diseases,205,28.0,5.0,0.0,0.0,205.0,28.0,13.7,2.4
The Journal of Infection in Developing Countries,161,22.0,1.0,161.0,22.0,0.0,0.0,13.7,0.6
Frontiers in Endocrinology,2649,361.0,75.0,1324.0,222.0,1325.0,139.0,13.6,2.8
Biology Direct,198,27.0,12.0,148.0,23.0,50.0,4.0,13.6,6.1
GeroScience,449,60.0,35.0,406.0,58.0,43.0,2.0,13.4,7.8
Translational Psychiatry,611,82.0,87.0,493.0,79.0,118.0,3.0,13.4,14.2
European Journal of Epidemiology,105,14.0,16.0,78.0,12.0,27.0,2.0,13.3,15.2
One Health,278,37.0,7.0,0.0,0.0,278.0,37.0,13.3,2.5
Neuropsychopharmacology,159,21.0,11.0,140.0,21.0,19.0,0.0,13.2,6.9
The Innovation,130,17.0,11.0,0.0,0.0,130.0,17.0,13.1,8.5
Ecology,130,17.0,15.0,18.0,12.0,112.0,5.0,13.1,11.5
Chemistry - A European Journal,485,63.0,2.0,149.0,26.0,336.0,37.0,13.0,0.4
Frontiers in Nutrition,2356,305.0,27.0,997.0,197.0,1359.0,108.0,12.9,1.1
The Plant Genome,124,16.0,18.0,13.0,6.0,111.0,10.0,12.9,14.5
Beilstein Journal of Organic Chemistry,303,39.0,4.0,90.0,12.0,213.0,27.0,12.9,1.3
Genetics,132,17.0,16.0,0.0,0.0,132.0,17.0,12.9,12.1
Journal of Applied Crystallography,171,22.0,29.0,0.0,0.0,171.0,22.0,12.9,17.0
Cell Biology and Toxicology,178,23.0,3.0,122.0,21.0,56.0,2.0,12.9,1.7
Cerebral Cortex,156,20.0,24.0,3.0,0.0,153.0,20.0,12.8,15.4
The FASEB Journal,266,34.0,3.0,36.0,11.0,230.0,23.0,12.8,1.1
Genes,1815,233.0,27.0,398.0,84.0,1417.0,149.0,12.8,1.5
Veterinary Medicine International,102,13.0,2.0,1.0,0.0,101.0,13.0,12.7,2.0
Evolutionary Applications,220,28.0,33.0,16.0,9.0,204.0,19.0,12.7,15.0
