journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct
The Journal of Cell Biology,261,33.0,21.0,1.0,0.0,260.0,33.0,12.6,8.0
Discover Oncology,1761,220.0,77.0,960.0,160.0,801.0,60.0,12.5,4.4
Biofilm,104,13.0,4.0,0.0,0.0,104.0,13.0,12.5,3.8
Insects,1431,179.0,10.0,267.0,49.0,1164.0,130.0,12.5,0.7
Biophysical Journal,113,14.0,21.0,1.0,0.0,112.0,14.0,12.4,18.6
BMC Immunology,114,14.0,2.0,82.0,10.0,32.0,4.0,12.3,1.8
Acta Pharmaceutica Sinica B,328,40.0,5.0,0.0,0.0,328.0,40.0,12.2,1.5
Royal Society Open Science,916,112.0,103.0,0.0,0.0,916.0,112.0,12.2,11.2
Environmental Science and Ecotechnology,116,14.0,2.0,0.0,0.0,116.0,14.0,12.1,1.7
Chemical Communications,381,46.0,3.0,331.0,32.0,50.0,14.0,12.1,0.8
Journal of Antimicrobial Chemotherapy,182,22.0,5.0,0.0,0.0,182.0,22.0,12.1,2.7
Aging Cell,404,49.0,30.0,43.0,16.0,361.0,33.0,12.1,7.4
Molecular Neurobiology,184,22.0,10.0,172.0,22.0,12.0,0.0,12.0,5.4
Infection,191,23.0,8.0,184.0,23.0,7.0,0.0,12.0,4.2
Cancer Cell International,503,60.0,17.0,379.0,49.0,124.0,11.0,11.9,3.4
Molecular Biology Reports,151,18.0,4.0,120.0,17.0,31.0,1.0,11.9,2.6
Journal of Behavioral Addictions,102,12.0,8.0,0.0,0.0,102.0,12.0,11.8,7.8
RSC Medicinal Chemistry,110,13.0,4.0,45.0,6.0,65.0,7.0,11.8,3.6
Clinical and Translational Medicine,394,46.0,10.0,31.0,10.0,363.0,36.0,11.7,2.5
The Journal of Experimental Medicine,197,23.0,15.0,7.0,2.0,190.0,21.0,11.7,7.6
Scientific Reports,49520,5775.0,2887.0,35796.0,5175.0,13724.0,600.0,11.7,5.8
Infection and Immunity,120,14.0,6.0,0.0,0.0,120.0,14.0,11.7,5.0
ACS Infectious Diseases,129,15.0,3.0,3.0,0.0,126.0,15.0,11.6,2.3
Alzheimer s Research & Therapy,371,43.0,24.0,286.0,37.0,85.0,6.0,11.6,6.5
ACS Synthetic Biology,146,17.0,15.0,0.0,0.0,146.0,17.0,11.6,10.3
Molecular Medicine Reports,251,29.0,7.0,135.0,24.0,116.0,5.0,11.6,2.8
BMC Infectious Diseases,1953,226.0,49.0,1447.0,214.0,506.0,12.0,11.6,2.5
Poultry Science,1824,210.0,26.0,0.0,0.0,1824.0,210.0,11.5,1.4
Crystal Growth & Design,105,12.0,1.0,0.0,0.0,105.0,12.0,11.4,1.0
Journal of Advanced Research,167,19.0,5.0,0.0,0.0,167.0,19.0,11.4,3.0
Journal of Medical Virology,159,18.0,1.0,28.0,6.0,131.0,12.0,11.3,0.6
Lab on a Chip,150,17.0,11.0,110.0,11.0,40.0,6.0,11.3,7.3
PLOS Global Public Health,1405,157.0,47.0,626.0,132.0,779.0,25.0,11.2,3.3
npj Science of Food,188,21.0,10.0,111.0,19.0,77.0,2.0,11.2,5.3
Biomolecules and Biomedicine,169,19.0,1.0,87.0,15.0,82.0,4.0,11.2,0.6
Hereditas,161,18.0,7.0,69.0,12.0,92.0,6.0,11.2,4.3
Arthritis Research & Therapy,324,36.0,16.0,242.0,31.0,82.0,5.0,11.1,4.9
Bioinformatics Advances,310,34.0,87.0,0.0,0.0,310.0,34.0,11.0,28.1
Frontiers in Bioscience-Landmark,263,29.0,7.0,261.0,29.0,2.0,0.0,11.0,2.7
Journal of Health Population and Nutrition,382,42.0,6.0,242.0,39.0,140.0,3.0,11.0,1.6
Epidemiology and Infection,209,23.0,10.0,103.0,13.0,106.0,10.0,11.0,4.8
Frontiers in Human Neuroscience,581,63.0,23.0,302.0,47.0,279.0,16.0,10.8,4.0
Journal of Experimental Botany,167,18.0,5.0,0.0,0.0,167.0,18.0,10.8,3.0
Frontiers in Big Data,111,12.0,8.0,60.0,11.0,51.0,1.0,10.8,7.2
Biochemistry and Biophysics Reports,388,42.0,4.0,1.0,0.0,387.0,42.0,10.8,1.0
PeerJ,2512,272.0,103.0,1.0,1.0,2511.0,271.0,10.8,4.1
Frontiers in Aging,120,13.0,4.0,47.0,9.0,73.0,4.0,10.8,3.3
Epigenetics,103,11.0,2.0,0.0,0.0,103.0,11.0,10.7,1.9
Cardiovascular Diabetology,621,66.0,12.0,454.0,53.0,167.0,13.0,10.6,1.9
BMC Gastroenterology,802,83.0,14.0,480.0,63.0,322.0,20.0,10.3,1.7
PLOS Digital Health,339,35.0,49.0,117.0,29.0,222.0,6.0,10.3,14.5
Aging Clinical and Experimental Research,341,35.0,8.0,226.0,28.0,115.0,7.0,10.3,2.3
Respiratory Research,572,59.0,24.0,438.0,55.0,134.0,4.0,10.3,4.2
Journal of Cell Science,145,15.0,24.0,1.0,0.0,144.0,15.0,10.3,16.6
Marine Drugs,623,64.0,1.0,154.0,13.0,469.0,51.0,10.3,0.2
Translational Oncology,496,51.0,25.0,2.0,0.0,494.0,51.0,10.3,5.0
Molecular Oncology,186,19.0,16.0,16.0,4.0,170.0,15.0,10.2,8.6
International Journal of Biological Sciences,422,43.0,6.0,1.0,1.0,421.0,42.0,10.2,1.4
Journal of Intelligence,157,16.0,10.0,32.0,8.0,125.0,8.0,10.2,6.4
Journal of Clinical Immunology,108,11.0,5.0,83.0,10.0,25.0,1.0,10.2,4.6
Journal of Virology,480,49.0,22.0,5.0,3.0,475.0,46.0,10.2,4.6
Hepatology Communications,276,28.0,16.0,3.0,1.0,273.0,27.0,10.1,5.8
BMC Endocrine Disorders,360,36.0,8.0,275.0,33.0,85.0,3.0,10.0,2.2
BMC Pulmonary Medicine,822,82.0,16.0,644.0,72.0,178.0,10.0,10.0,1.9
Human Brain Mapping,462,46.0,97.0,29.0,10.0,433.0,36.0,10.0,21.0
Journal of Veterinary Medical Science,272,27.0,1.0,21.0,2.0,251.0,25.0,9.9,0.4
Archives of Toxicology,151,15.0,9.0,129.0,14.0,22.0,1.0,9.9,6.0
Theranostics,555,55.0,8.0,0.0,0.0,555.0,55.0,9.9,1.4
Infectious Diseases and Therapy,202,20.0,1.0,165.0,20.0,37.0,0.0,9.9,0.5
Implementation Science Communications,181,18.0,3.0,132.0,18.0,49.0,0.0,9.9,1.7
BJC Reports,102,10.0,4.0,76.0,10.0,26.0,0.0,9.8,3.9
Journal of Ovarian Research,316,31.0,12.0,236.0,27.0,80.0,4.0,9.8,3.8
BMC Public Health,5185,501.0,113.0,3814.0,462.0,1371.0,39.0,9.7,2.2
Soft Matter,308,30.0,32.0,268.0,24.0,40.0,6.0,9.7,10.4
EMBO Molecular Medicine,196,19.0,16.0,2.0,0.0,194.0,19.0,9.7,8.2
Environmental Health,124,12.0,2.0,95.0,12.0,29.0,0.0,9.7,1.6
BMC Cancer,2277,222.0,103.0,1623.0,196.0,654.0,26.0,9.7,4.5
Communications Engineering,185,18.0,29.0,104.0,18.0,81.0,0.0,9.7,15.7
Biology Open,188,18.0,10.0,2.0,0.0,186.0,18.0,9.6,5.3
Journal of Veterinary Science,104,10.0,0.0,77.0,9.0,27.0,1.0,9.6,0.0
BMC Medical Research Methodology,418,40.0,111.0,323.0,36.0,95.0,4.0,9.6,26.6
Biochemistry,125,12.0,4.0,1.0,0.0,124.0,12.0,9.6,3.2
New Phytologist,219,21.0,13.0,37.0,4.0,182.0,17.0,9.6,5.9
Current Developments in Nutrition,201,19.0,7.0,0.0,0.0,201.0,19.0,9.5,3.5
Frontiers in Cellular Neuroscience,325,31.0,7.0,175.0,25.0,150.0,6.0,9.5,2.2
Briefings in Bioinformatics,895,84.0,169.0,1.0,0.0,894.0,84.0,9.4,18.9
FEBS Open Bio,181,17.0,6.0,16.0,5.0,165.0,12.0,9.4,3.3
Reproductive Biology and Endocrinology,182,17.0,4.0,130.0,15.0,52.0,2.0,9.3,2.2
BIO-PROTOCOL,396,37.0,51.0,1.0,0.0,395.0,37.0,9.3,12.9
Frontiers in Toxicology,131,12.0,8.0,52.0,9.0,79.0,3.0,9.2,6.1
European journal of medical research,926,85.0,24.0,614.0,75.0,312.0,10.0,9.2,2.6
Brazilian Journal of Biology,130,12.0,1.0,130.0,12.0,0.0,0.0,9.2,0.8
BMC Medical Informatics and Decision Making,564,52.0,75.0,444.0,51.0,120.0,1.0,9.2,13.3
Antibiotics,1407,128.0,10.0,255.0,48.0,1152.0,80.0,9.1,0.7
Molecular Brain,132,12.0,4.0,92.0,10.0,40.0,2.0,9.1,3.0
Cancer Immunology Immunotherapy,456,41.0,17.0,321.0,34.0,135.0,7.0,9.0,3.7
Schizophrenia,189,17.0,18.0,132.0,17.0,57.0,0.0,9.0,9.5
Microbiology Resource Announcements,1162,105.0,41.0,3.0,3.0,1159.0,102.0,9.0,3.5
Reproductive Sciences,100,9.0,1.0,85.0,9.0,15.0,0.0,9.0,1.0
Journal of Biological Engineering,112,10.0,2.0,78.0,9.0,34.0,1.0,8.9,1.8
Social Cognitive and Affective Neuroscience,112,10.0,12.0,0.0,0.0,112.0,10.0,8.9,10.7
Environmental Management,102,9.0,8.0,87.0,9.0,15.0,0.0,8.8,7.8
Eurosurveillance,331,29.0,9.0,0.0,0.0,331.0,29.0,8.8,2.7
Faraday Discussions,114,10.0,8.0,100.0,8.0,14.0,2.0,8.8,7.0
Global Heart,114,10.0,3.0,31.0,3.0,83.0,7.0,8.8,2.6
Frontiers in Psychology,4285,379.0,85.0,2071.0,265.0,2214.0,114.0,8.8,2.0
The Journal of Infectious Diseases,240,21.0,12.0,14.0,5.0,226.0,16.0,8.8,5.0
Journal of Integrative Neuroscience,137,12.0,6.0,134.0,12.0,3.0,0.0,8.8,4.4
Inorganic Chemistry,550,48.0,0.0,2.0,0.0,548.0,48.0,8.7,0.0
Frontiers in Artificial Intelligence,414,36.0,30.0,163.0,27.0,251.0,9.0,8.7,7.2
BMC Rheumatology,127,11.0,8.0,79.0,9.0,48.0,2.0,8.7,6.3
Frontiers in Neuroscience,1316,114.0,59.0,679.0,87.0,637.0,27.0,8.7,4.5
Journal of Materials Chemistry B,116,10.0,4.0,92.0,7.0,24.0,3.0,8.6,3.4
International Journal of Obesity,128,11.0,8.0,118.0,11.0,10.0,0.0,8.6,6.2
Biology,1357,117.0,11.0,223.0,36.0,1134.0,81.0,8.6,0.8
Organic & Biomolecular Chemistry,105,9.0,0.0,89.0,4.0,16.0,5.0,8.6,0.0
Science Advances,3594,302.0,217.0,21.0,11.0,3573.0,291.0,8.4,6.0
Proceedings of the Royal Society B Biological Sciences,489,41.0,39.0,0.0,0.0,489.0,41.0,8.4,8.0
Trials,950,80.0,49.0,807.0,77.0,143.0,3.0,8.4,5.2
New Microbes and New Infections,169,14.0,2.0,0.0,0.0,169.0,14.0,8.3,1.2
Autism,109,9.0,5.0,0.0,0.0,109.0,9.0,8.3,4.6
Clinical and Experimental Medicine,290,24.0,15.0,203.0,23.0,87.0,1.0,8.3,5.2
Cognitive Neurodynamics,108,9.0,10.0,97.0,9.0,11.0,0.0,8.3,9.3
European Journal of Neuroscience,146,12.0,15.0,30.0,9.0,116.0,3.0,8.2,10.3
World Allergy Organization Journal,182,15.0,1.0,0.0,0.0,182.0,15.0,8.2,0.5
Infection and Drug Resistance,769,62.0,8.0,229.0,31.0,540.0,31.0,8.1,1.0
Biology Letters,124,10.0,9.0,1.0,1.0,123.0,9.0,8.1,7.3
International Journal of Clinical and Health Psychology,149,12.0,12.0,0.0,0.0,149.0,12.0,8.1,8.1
EFSA Journal,594,48.0,4.0,45.0,4.0,549.0,44.0,8.1,0.7
JACC Basic to Translational Science,100,8.0,2.0,0.0,0.0,100.0,8.0,8.0,2.0
Plant Signaling & Behavior,113,9.0,4.0,0.0,0.0,113.0,9.0,8.0,3.5
Experimental and Therapeutic Medicine,377,30.0,14.0,239.0,30.0,138.0,0.0,8.0,3.7
npj Digital Medicine,585,47.0,156.0,381.0,43.0,204.0,4.0,8.0,26.7
PeerJ Computer Science,897,71.0,92.0,0.0,0.0,897.0,71.0,7.9,10.3
Nanoscale,340,27.0,13.0,302.0,22.0,38.0,5.0,7.9,3.8
Frontiers in Computational Neuroscience,140,11.0,14.0,76.0,9.0,64.0,2.0,7.9,10.0
Oncology Letters,717,57.0,20.0,387.0,48.0,330.0,9.0,7.9,2.8
Disease Models & Mechanisms,166,13.0,7.0,0.0,0.0,166.0,13.0,7.8,4.2
Antibodies,116,9.0,1.0,23.0,3.0,93.0,6.0,7.8,0.9
Plant Methods,255,20.0,36.0,180.0,18.0,75.0,2.0,7.8,14.1
Biology Methods and Protocols,116,9.0,13.0,0.0,0.0,116.0,9.0,7.8,11.2
BMC Cardiovascular Disorders,1029,79.0,17.0,756.0,69.0,273.0,10.0,7.7,1.7
AIDS and Behavior,209,16.0,4.0,189.0,16.0,20.0,0.0,7.7,1.9
Journal of Epidemiology and Global Health,182,14.0,2.0,130.0,14.0,52.0,0.0,7.7,1.1
PNAS Nexus,698,54.0,43.0,3.0,1.0,695.0,53.0,7.7,6.2
Nature and Science of Sleep,260,20.0,6.0,78.0,5.0,182.0,15.0,7.7,2.3
Frontiers in Aging Neuroscience,723,56.0,13.0,342.0,40.0,381.0,16.0,7.7,1.8
International Journal of Cardiology Cardiovascular Risk and Prevention,142,11.0,2.0,0.0,0.0,142.0,11.0,7.7,1.4
Proceedings of the National Academy of Sciences,4134,320.0,221.0,53.0,22.0,4081.0,298.0,7.7,5.3
Neurotherapeutics,132,10.0,3.0,0.0,0.0,132.0,10.0,7.6,2.3
European Child & Adolescent Psychiatry,144,11.0,13.0,144.0,11.0,0.0,0.0,7.6,9.0
Frontiers in Public Health,5387,412.0,52.0,2502.0,359.0,2885.0,53.0,7.6,1.0
Bioinformatics,946,72.0,192.0,6.0,1.0,940.0,71.0,7.6,20.3
Journal of Enzyme Inhibition and Medicinal Chemistry,106,8.0,1.0,0.0,0.0,106.0,8.0,7.5,0.9
Journal of Cancer Research and Clinical Oncology,588,44.0,34.0,493.0,42.0,95.0,2.0,7.5,5.8
Journal of Autism and Developmental Disorders,213,16.0,10.0,213.0,16.0,0.0,0.0,7.5,4.7
Frontiers in Pharmacology,3697,279.0,64.0,1646.0,210.0,2051.0,69.0,7.5,1.7
The Journal of Headache and Pain,281,21.0,12.0,207.0,17.0,74.0,4.0,7.5,4.3
Veterinary World,399,30.0,6.0,0.0,0.0,399.0,30.0,7.5,1.5
Pilot and Feasibility Studies,227,17.0,6.0,165.0,16.0,62.0,1.0,7.5,2.6
Veterinary Sciences,1047,78.0,6.0,187.0,19.0,860.0,59.0,7.4,0.6
Heliyon,16600,1231.0,408.0,4.0,0.0,16596.0,1231.0,7.4,2.5
iMeta,135,10.0,21.0,13.0,6.0,122.0,4.0,7.4,15.6
Molecular Medicine,445,33.0,8.0,286.0,26.0,159.0,7.0,7.4,1.8
Journal of Orthopaedic Translation,136,10.0,1.0,0.0,0.0,136.0,10.0,7.4,0.7
MMWR Morbidity and Mortality Weekly Report,285,21.0,2.0,0.0,0.0,285.0,21.0,7.4,0.7
Bioresources and Bioprocessing,149,11.0,3.0,108.0,7.0,41.0,4.0,7.4,2.0
British Journal Of Nutrition,219,16.0,4.0,185.0,16.0,34.0,0.0,7.3,1.8
Journal of the American Society for Mass Spectrometry,137,10.0,7.0,2.0,1.0,135.0,9.0,7.3,5.1
Journal of Imaging Informatics in Medicine,362,26.0,42.0,360.0,26.0,2.0,0.0,7.2,11.6
Cells,1812,130.0,15.0,381.0,57.0,1431.0,73.0,7.2,0.8
BMC Psychiatry,1386,100.0,38.0,1013.0,85.0,373.0,15.0,7.2,2.7
Biomedical Reports,223,16.0,2.0,115.0,15.0,108.0,1.0,7.2,0.9
Frontiers in Physiology,1126,80.0,29.0,553.0,61.0,573.0,19.0,7.1,2.6
International Journal of Molecular Sciences,14269,1008.0,123.0,2875.0,352.0,11394.0,656.0,7.1,0.9
Frontiers in Behavioral Neuroscience,183,13.0,9.0,93.0,9.0,90.0,4.0,7.1,4.9
The Lancet Regional Health - Western Pacific,309,22.0,20.0,0.0,0.0,309.0,22.0,7.1,6.5
Magnetic Resonance in Medicine,201,14.0,34.0,44.0,8.0,157.0,6.0,7.0,16.9
Environment & Health,114,8.0,3.0,0.0,0.0,114.0,8.0,7.0,2.6
BioMed Research International,171,12.0,1.0,2.0,1.0,169.0,11.0,7.0,0.6
Environmental Science & Technology,681,48.0,40.0,3.0,0.0,678.0,48.0,7.0,5.9
European Psychiatry,115,8.0,9.0,60.0,5.0,55.0,3.0,7.0,7.8
Toxins,600,42.0,4.0,132.0,15.0,468.0,27.0,7.0,0.7
mAbs,130,9.0,3.0,0.0,0.0,130.0,9.0,6.9,2.3
International Dental Journal,320,22.0,5.0,0.0,0.0,320.0,22.0,6.9,1.6
Chinese Medicine,221,15.0,3.0,167.0,15.0,54.0,0.0,6.8,1.4
Frontiers in Bioengineering and Biotechnology,1342,91.0,26.0,723.0,73.0,619.0,18.0,6.8,1.9
OncoImmunology,148,10.0,4.0,2.0,0.0,146.0,10.0,6.8,2.7
Iranian Journal of Microbiology,132,9.0,1.0,0.0,0.0,132.0,9.0,6.8,0.8
Neurology Neuroimmunology & Neuroinflammation,162,11.0,4.0,2.0,1.0,160.0,10.0,6.8,2.5
Angewandte Chemie International Edition,785,53.0,6.0,258.0,30.0,527.0,23.0,6.8,0.8
Anais da Academia Brasileira de Ciências,118,8.0,3.0,118.0,8.0,0.0,0.0,6.8,2.5
Reviews in Cardiovascular Medicine,329,22.0,6.0,160.0,10.0,169.0,12.0,6.7,1.8
Animals,4759,320.0,34.0,884.0,92.0,3875.0,228.0,6.7,0.7
Bioscience Reports,106,7.0,0.0,0.0,0.0,106.0,7.0,6.6,0.0
BMC Women s Health,830,55.0,11.0,661.0,51.0,169.0,4.0,6.6,1.3
Journal of Inflammation Research,1175,77.0,22.0,386.0,38.0,789.0,39.0,6.6,1.9
Sports Medicine - Open,121,8.0,10.0,92.0,7.0,29.0,1.0,6.6,8.3
BMC Geriatrics,1301,84.0,13.0,1009.0,82.0,292.0,2.0,6.5,1.0
Journal of the Pakistan Medical Association,108,7.0,1.0,108.0,7.0,0.0,0.0,6.5,0.9
Journal of Eating Disorders,263,17.0,10.0,198.0,16.0,65.0,1.0,6.5,3.8
Biomolecules,1543,100.0,21.0,316.0,40.0,1227.0,60.0,6.5,1.4
Journal of Cancer Survivorship,107,7.0,0.0,107.0,7.0,0.0,0.0,6.5,0.0
Animal Bioscience,247,16.0,1.0,110.0,13.0,137.0,3.0,6.5,0.4
Antimicrobial Agents and Chemotherapy,323,21.0,15.0,0.0,0.0,323.0,21.0,6.5,4.6
Harm Reduction Journal,280,18.0,2.0,204.0,17.0,76.0,1.0,6.4,0.7
Investigative Ophthalmology & Visual Science,895,57.0,32.0,1.0,0.0,894.0,57.0,6.4,3.6
EClinicalMedicine,639,41.0,47.0,4.0,0.0,635.0,41.0,6.4,7.4
Journal of Clinical Microbiology,141,9.0,7.0,1.0,0.0,140.0,9.0,6.4,5.0
BMC Complementary Medicine and Therapies,557,35.0,9.0,412.0,30.0,145.0,5.0,6.3,1.6
Plants,4653,294.0,26.0,876.0,91.0,3777.0,203.0,6.3,0.6
Current Research in Food Science,384,24.0,7.0,0.0,0.0,384.0,24.0,6.2,1.8
Environmental Health Perspectives,306,19.0,30.0,9.0,0.0,297.0,19.0,6.2,9.8
AMBIO,129,8.0,8.0,117.0,7.0,12.0,1.0,6.2,6.2
Infection Control and Hospital Epidemiology,176,11.0,3.0,130.0,10.0,46.0,1.0,6.2,1.7
Addiction Biology,112,7.0,6.0,15.0,2.0,97.0,5.0,6.2,5.4
International Journal of COPD,329,20.0,2.0,66.0,10.0,263.0,10.0,6.1,0.6
Frontiers in Psychiatry,2334,142.0,32.0,1140.0,116.0,1194.0,26.0,6.1,1.4
International Journal of Epidemiology,115,7.0,4.0,0.0,0.0,115.0,7.0,6.1,3.5
Journal of NeuroEngineering and Rehabilitation,294,18.0,11.0,212.0,16.0,82.0,2.0,6.1,3.7
Advanced Science,4305,264.0,106.0,314.0,42.0,3991.0,222.0,6.1,2.5
Archives of Public Health,352,21.0,3.0,247.0,20.0,105.0,1.0,6.0,0.9
Cell Proliferation,151,9.0,5.0,19.0,3.0,132.0,6.0,6.0,3.3
JAC-Antimicrobial Resistance,232,14.0,9.0,0.0,0.0,232.0,14.0,6.0,3.9
Journal of General Internal Medicine,268,16.0,3.0,265.0,16.0,3.0,0.0,6.0,1.1
Frontiers in Cardiovascular Medicine,1767,106.0,27.0,781.0,68.0,986.0,38.0,6.0,1.5
Animal Models and Experimental Medicine,117,7.0,1.0,12.0,0.0,105.0,7.0,6.0,0.9
ACS Chemical Neuroscience,149,9.0,3.0,1.0,0.0,148.0,9.0,6.0,2.0
Journal of Experimental Biology,200,12.0,27.0,0.0,0.0,200.0,12.0,6.0,13.5
Journal of Agricultural and Food Chemistry,298,18.0,6.0,0.0,0.0,298.0,18.0,6.0,2.0
Journal of the American Heart Association,1531,90.0,46.0,7.0,2.0,1524.0,88.0,5.9,3.0
Orphanet Journal of Rare Diseases,642,38.0,10.0,456.0,35.0,186.0,3.0,5.9,1.6
Malaria Journal,517,30.0,26.0,397.0,27.0,120.0,3.0,5.8,5.0
BMC Chemistry,411,24.0,7.0,282.0,19.0,129.0,5.0,5.8,1.7
Social Psychiatry and Psychiatric Epidemiology,120,7.0,8.0,114.0,7.0,6.0,0.0,5.8,6.7
Frontiers in Robotics and AI,313,18.0,19.0,116.0,14.0,197.0,4.0,5.8,6.1
The Lancet Regional Health - Americas,359,21.0,17.0,0.0,0.0,359.0,21.0,5.8,4.7
Annals of Biomedical Engineering,121,7.0,7.0,106.0,7.0,15.0,0.0,5.8,5.8
BMC Psychology,1309,74.0,41.0,860.0,69.0,449.0,5.0,5.7,3.1
Acta Biochimica et Biophysica Sinica,192,11.0,2.0,88.0,9.0,104.0,2.0,5.7,1.0
Journal for ImmunoTherapy of Cancer,715,41.0,22.0,6.0,0.0,709.0,41.0,5.7,3.1
Frontiers in Chemistry,662,38.0,7.0,317.0,27.0,345.0,11.0,5.7,1.1
The Journal of Physiology,162,9.0,9.0,48.0,7.0,114.0,2.0,5.6,5.6
Psychological Medicine,342,19.0,44.0,194.0,15.0,148.0,4.0,5.6,12.9
Cancer Science,364,20.0,3.0,42.0,4.0,322.0,16.0,5.5,0.8
BMC Pediatrics,1143,63.0,14.0,861.0,61.0,282.0,2.0,5.5,1.2
Health and Quality of Life Outcomes,146,8.0,4.0,106.0,8.0,40.0,0.0,5.5,2.7
Frontiers in Health Services,199,11.0,2.0,74.0,10.0,125.0,1.0,5.5,1.0
Child and Adolescent Psychiatry and Mental Health,201,11.0,7.0,153.0,11.0,48.0,0.0,5.5,3.5
Frontiers in Reproductive Health,148,8.0,1.0,65.0,8.0,83.0,0.0,5.4,0.7
Discover Mental Health,130,7.0,3.0,73.0,5.0,57.0,2.0,5.4,2.3
BMC Nutrition,244,13.0,3.0,179.0,13.0,65.0,0.0,5.3,1.2
Journal of Cellular and Molecular Medicine,913,48.0,27.0,70.0,13.0,843.0,35.0,5.3,3.0
BMC Musculoskeletal Disorders,1424,76.0,16.0,1082.0,71.0,342.0,5.0,5.3,1.1
MedComm,376,20.0,9.0,32.0,6.0,344.0,14.0,5.3,2.4
Influenza and Other Respiratory Viruses,194,10.0,4.0,12.0,2.0,182.0,8.0,5.2,2.1
Aquaculture Nutrition,155,8.0,2.0,3.0,1.0,152.0,7.0,5.2,1.3
Open Veterinary Journal,523,27.0,0.0,0.0,0.0,523.0,27.0,5.2,0.0
Nanoscale Advances,669,35.0,12.0,275.0,10.0,394.0,25.0,5.2,1.8
Analytical Chemistry,558,29.0,32.0,2.0,0.0,556.0,29.0,5.2,5.7
Environmental Health and Preventive Medicine,115,6.0,2.0,8.0,0.0,107.0,6.0,5.2,1.7
Open Medicine,287,15.0,6.0,99.0,6.0,188.0,9.0,5.2,2.1
Alzheimer s & Dementia,996,52.0,64.0,76.0,10.0,920.0,42.0,5.2,6.4
BMC Urology,346,18.0,8.0,265.0,16.0,81.0,2.0,5.2,2.3
OncoTargets and Therapy,116,6.0,2.0,38.0,4.0,78.0,2.0,5.2,1.7
BMC Oral Health,2196,112.0,24.0,1587.0,104.0,609.0,8.0,5.1,1.1
Journal of Cachexia Sarcopenia and Muscle,351,18.0,10.0,33.0,7.0,318.0,11.0,5.1,2.8
Environmental Science and Pollution Research,721,37.0,40.0,658.0,36.0,63.0,1.0,5.1,5.5
Critical Care,356,18.0,12.0,274.0,18.0,82.0,0.0,5.1,3.4
Journal of Cancer,600,30.0,26.0,0.0,0.0,600.0,30.0,5.0,4.3
The Journals of Gerontology Series A,100,5.0,3.0,6.0,0.0,94.0,5.0,5.0,3.0
Translational Cancer Research,635,32.0,32.0,0.0,0.0,635.0,32.0,5.0,5.0
Bulletin of Mathematical Biology,123,6.0,27.0,95.0,5.0,28.0,1.0,4.9,22.0
Advances in Therapy,284,14.0,11.0,220.0,13.0,64.0,1.0,4.9,3.9
European journal of psychotraumatology,324,16.0,11.0,0.0,0.0,324.0,16.0,4.9,3.4
Pediatric Rheumatology,143,7.0,3.0,110.0,5.0,33.0,2.0,4.9,2.1
